codigo_produto,produto_nome,base_legal,unidade,data_atualizacao
1643,SALAME (DOCE) DE CUPUAÇU COM CASTANHA DA AMAZÔNIA,"Portaria Interministerial SEPEC/ME/SEXEC/MCTI nº 8.805, de 5 de outubro de 2022 e Portaria Interministerial SEPEC/ME/MCTI nº 11.316, de 30 de dezembro de 2022",QUILOGRAMA LÍQUIDO,
1649,"TELEVISOR EM CORES CONJUGADO COM RÁDIO E ""DIGITAL VÍDEO DISC - DVD PLAYER""","Portaria Interministerial MDIC/MCTI nº 4, de 8 de maio de 2023",UNIDADE,16/08/2024 17:08
1650,MOLA METÁLICA,"Portaria Interministerial SEPEC/ME/SEXEC/MCTI nº 1.651, de 22 de fevereiro de 2022",QUILOGRAMA LÍQUIDO,16/07/2008 11:07
1651,REGISTRADOR/MEDIDOR DE ENERGIA ELÉTRICA,"Portaria Interministerial SEPEC/ME/SEXEC/MCTI nº 10.023, de 22 de novembro de 2022",UNIDADE,08/04/2026 11:04
1652,"APARELHO PARA RECUPERAÇÃO DE ENERGIA TÉRMICA, PARA SISTEMA DE CONDICIONADOR DE AR CENTRAL","Portaria Interministerial MDIC/MCT nº 31, de 10 de janeiro de 2005",UNIDADE,05/06/2018 17:06
1653,"GELÉIAS, DOCES, PURÊS E PASTA (DE FRUTAS REGIONAIS)","Portaria Interministerial SEPEC/ME/SEXEC/MCTI nº 8.805, de 5 de outubro de 2022 e Portaria Interministerial SEPEC/ME/MCTI nº 11.316, de 30 de dezembro de 2022",QUILOGRAMA LÍQUIDO,
1656,EMBARCAÇÕES DE SERVIÇOS (EM AÇO),"Portaria Interministerial MDIC/MCTI nº 168, de 20 de junho de 2014",UNIDADE,
1657,CAIXA DE PAPEL RECICLADO PARA EMBALAGENS,Portaria Interministerial MDIC/MCT nº 204/07,QUILOGRAMA LÍQUIDO,
1658,"VÁLVULA DE SUCÇÃO DE AR DO MOTOR PARA CICLOMOTORES, MOTONETAS, MOTOCICLETAS, TRICICLOS E QUADRICICLOS","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,09/02/2024 11:02
1659,PARTES E PEÇAS METÁLICAS DE MOLDE PARA VIDRO,"Portaria Interministerial MDIC/MCT nº 67, de 28 de fevereiro de 2005",UNIDADE,05/06/2018 17:06
1660,APARELHO ELETRÔNICO DE ALARME PARA PROTEÇÃO CONTRA ROUBO OU INCÊNDIO,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 58, 9 DE OUTUBRO DE 2020. Alterações: PI 8872/2021, PI 1167/2022, PI 8646/2022, PI 30/2023, PI 60/2024, PI 70/2024 e PI 105/2025",UNIDADE,
1661,TERMINAL DE AUTO-ATENDIMENTO PARA MINILABORATÓRIO FOTOGRÁFICO,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 113, 7 DE MAIO DE 2025 - III -",UNIDADE,
1662,PEDRA BRITADA DE GRANITO,"Portaria Interministerial MDIC/MCT nº 242, de 18 de julho de 2005",METRO CÚBICO,
1663,LENTES COM TRATAMENTO MULTICAMADAS,"Portaria Interministerial ME/MCTI nº 7.768, de 30 de junho de 2021",UNIDADE,11/07/2024 12:07
1664,EMBALAGENS E ARTEFATOS DE PAPELÃO ONDULADO (EXCETO CAIXA),"Portaria Interministerial MDIC/MCT nº 245, de 20 de dezembro de 2006",QUILOGRAMA LÍQUIDO,
1665,DISTRIBUIDOR DE CONEXÕES PARA REDE (SWITCH),"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 8687, 19 DE JULHO DE 2021 - C",UNIDADE,
1666,MÁQUINA DE CONTAR CÉDULAS COM CAPACIDADE DE COMUNICAÇÃO,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 58, 9 DE OUTUBRO DE 2020. Alterações: PI 8872/2021, PI 1167/2022, PI 8646/2022, PI 30/2023, PI 60/2024, PI 70/2024 e PI 105/2025",UNIDADE,
1667,MÁQUINA DE AUTOATENDIMENTO PARA CONTAR MOEDA,"Portaria Interministerial MDIC/MCTI nº 332, de 16 de outubro de 2013 e Portaria Interministerial MDIC/MCTIC n° 323, 9 de dezembro de 2016",UNIDADE,
1668,"PELES, EXCETO PELETERIA, E COUROS","Portaria Interministerial SEPEC/ME/SEXEC/MCTI nº 8.805, de 5 de outubro de 2022 e Portaria Interministerial SEPEC/ME/MCTI nº 11.316, de 30 de dezembro de 2022",TONELADA,
1669,CORPO DA VÁLVULA MAGNÉTICA (SOLENÓIDE) DE CONTROLE HIDRÁULICO DO EIXO COMANDO DE VÁLVULA DE VEÍCULOS AUTOMOTORES (4 RODAS),"Portaria Interministerial ME/MCTI nº 45, de 26 de agosto de 2020 e Portaria Interministerial SEPEC/ME/SEXEC/MCTI nº 10.020, de 21 de novembro de 2022",QUILOGRAMA LÍQUIDO,27/02/2023 11:02
1670,"PELÍCULA AUTO-ADESIVA DE PLÁSTICO PARA CONTROLE DE RAIOS SOLARES, EM ROLO","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 125, 17 DE JULHO DE 2025",METRO,
1671,PARTES E PEÇAS PARA EQUIPAMENTO PARA CONVERSÃO DE MOTORES DO CICLO OTTO PARA USO DO GÁS NATURAL,"Portaria Interministerial MDIC/MCT nº 68, de 28 de fevereiro de 2005",UNIDADE,
1672,CUMEEIRAS DE AÇO,"Portaria Interministerial SEPEC/ME/SEXEC/MCTI nº 1.651, de 22 de fevereiro de 2022",QUILOGRAMA LÍQUIDO,
1673,REVELADOR SINTERIZADO,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 11982, 5 DE OUTUBRO DE 2021 - Art. 3º REVELADOR. Alterações: PI 10475/2022, PI 41/2024 e PI 98/2025",QUILOGRAMA LÍQUIDO,
1674,LUMINÁRIA PORTÁTIL COM BATERIA RECARREGÁVEL,"Portaria Interministerial MDIC/MCT nº 08, de 18 de janeiro de 2007",UNIDADE,12/07/2024 17:07
1675,CINTAS DE LIXA,"Portaria Interministerial MDIC/MCT nº 205, de 13 de novembro de 2007",METRO QUADRADO,21/11/2007 11:11
1676,LIXAS EM FORMATOS DIVERSOS,"Portaria Interministerial MDIC/MCT nº 205, de 13 de novembro de 2007",METRO QUADRADO,21/07/2015 17:07
1677,RODAS DE LIXAS,"Portaria Interministerial MDIC/MCT nº 205, de 13 de novembro de 2007",UNIDADE,21/11/2007 11:11
1678,PERFIS PARA SERRALHERIA,"Portaria Interministerial SEPEC/ME/SEXEC/MCTI nº 1.651, de 22 de fevereiro de 2022",QUILOGRAMA LÍQUIDO,
1679,CALHAS,"Portaria Interministerial SEPEC/ME/SEXEC/MCTI nº 1.651, de 22 de fevereiro de 2022",QUILOGRAMA LÍQUIDO,
