codigo_produto,produto_nome,base_legal,unidade,data_atualizacao,codigo_tipo,descricao_tipo,ncm,ncm_descricao
1941,RÁDIO COM REPRODUTOR DE ÁUDIO NO FORMATO DIGITAL,"Portaria Interministerial MDIC/MCTI nº 4, de 8 de maio de 2023",UNIDADE,18/03/2025 11:03,015,"com entrada USB, com ou sem entrada auxiliar e ""bluetooth""; com alto-falantes incorporados","85182200, 85271300, 85279100, 85279190",ALTO-FALANTES MULTIPLOS MONTADOS NO MESMO RECEPTACULO | Outros aparelhos combinados com um aparelho de gravação ou de reprodução de som. | Combinados com um aparelho de gravação ou de reprodução de som | OUTROS APARS.RECEP.RADIODIF.C/APARS.GRAV/REPROD. DO SOM
1941,RÁDIO COM REPRODUTOR DE ÁUDIO NO FORMATO DIGITAL,"Portaria Interministerial MDIC/MCTI nº 4, de 8 de maio de 2023",UNIDADE,18/03/2025 11:03,020,"com conexão ""Bluetooth""; alto-falantes incorporados; e caixas acústicas e ""subwoofer"" satélites",85279100,Combinados com um aparelho de gravação ou de reprodução de som
1243,RÁDIO COM TOCA-DISCO DIGITAL A LASER E GRAVADOR/REPRODUTOR DE MP3 EM MEMÓRIA SÓLIDA,"Portaria Interministerial MDIC/MCTI nº 4, de 8 de maio de 2023",UNIDADE,16/08/2024 17:08,005,standard,,
1688,RÁDIO COM TOCA-DISCO DIGITAL A LASER PORTÁTIL,"Portaria Interministerial MDIC/MCTI nº 4, de 8 de maio de 2023",UNIDADE,16/08/2024 17:08,005,standard,"85271300, 85271390, 85279100, 85279190","Outros aparelhos combinados com um aparelho de gravação ou de reprodução de som. | OUTS.APARS.RECEP.RADIODIF.C/APARS.SOM,PILHA/ELETR. | Combinados com um aparelho de gravação ou de reprodução de som | OUTROS APARS.RECEP.RADIODIF.C/APARS.GRAV/REPROD. DO SOM"
1688,RÁDIO COM TOCA-DISCO DIGITAL A LASER PORTÁTIL,"Portaria Interministerial MDIC/MCTI nº 4, de 8 de maio de 2023",UNIDADE,16/08/2024 17:08,010,"com entrada USB, com ou sem entrada auxiliar e ¿Bluetooth¿, com alto-falantes incorporados",85271300,Outros aparelhos combinados com um aparelho de gravação ou de reprodução de som.
0106,RÁDIO COM TOCA-DISCOS DIGITAL A LASER,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,,005,standard,"85279100, 85279190",Combinados com um aparelho de gravação ou de reprodução de som | OUTROS APARS.RECEP.RADIODIF.C/APARS.GRAV/REPROD. DO SOM
0106,RÁDIO COM TOCA-DISCOS DIGITAL A LASER,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,,010,com mecanismo de múltiplo discos e reprodutor de áudio digital via conexão USB,"85279100, 85279190",Combinados com um aparelho de gravação ou de reprodução de som | OUTROS APARS.RECEP.RADIODIF.C/APARS.GRAV/REPROD. DO SOM
0106,RÁDIO COM TOCA-DISCOS DIGITAL A LASER,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,,015,com reprodutor de áudio digital via conexão USB,"85279100, 85279190",Combinados com um aparelho de gravação ou de reprodução de som | OUTROS APARS.RECEP.RADIODIF.C/APARS.GRAV/REPROD. DO SOM
2160,RÁDIO COM TOCA-DISCOS DIGITAL A LASER E DE VINIL,"Portaria Interministerial MDIC/MCTI nº 4, de 8 de maio de 2023",UNIDADE,,005,Standard,85279100,Combinados com um aparelho de gravação ou de reprodução de som
2160,RÁDIO COM TOCA-DISCOS DIGITAL A LASER E DE VINIL,"Portaria Interministerial MDIC/MCTI nº 4, de 8 de maio de 2023",UNIDADE,,010,Com conexões USB e/ou WiFi e/ou bluetooth,85279100,Combinados com um aparelho de gravação ou de reprodução de som
0094,RÁDIO COM TOCA-FITAS PORTÁTIL,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,,005,standard,"85271300, 85271310","Outros aparelhos combinados com um aparelho de gravação ou de reprodução de som. | OUTS.APARS.RECEP.RADIODIF.C/TOCA-FITAS,PILHA/ELETR."
0094,RÁDIO COM TOCA-FITAS PORTÁTIL,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,,010,com mecanismo auto-reverso,"85271300, 85271310","Outros aparelhos combinados com um aparelho de gravação ou de reprodução de som. | OUTS.APARS.RECEP.RADIODIF.C/TOCA-FITAS,PILHA/ELETR."
1236,"RÁDIO COMBINADO COM AMPLIFICADOR ""HOME THEATER""","Portaria Interministerial MDIC/MCTI nº 4, de 8 de maio de 2023",UNIDADE,16/08/2024 17:08,005,standard,85279910,"Amplificador com sintonizador (""receiver"")"
0102,RÁDIO PORTÁTIL,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,,005,standard,,
0937,RÁDIO TRANSCEPTOR DIGITAL PORTÁTIL,"Portaria Interministerial MDIC/MCTIC nº 50, de 29 de outubro de 2018 e Portaria Interministerial SEPEC/ME/SEXEC/MCTI n° 38, 17 de julho de 2020",UNIDADE,,005,UHF,,
0940,RÁDIO TRANSCEPTOR DIGITAL SEM FONTE PRÓPRIA DE ENERGIA,"Portaria Interministerial MDIC/MCTIC nº 50, de 29 de outubro de 2018 e Portaria Interministerial SEPEC/ME/SEXEC/MCTI n° 38, 17 de julho de 2020",UNIDADE,,005,UHF - para estação móvel,,
0940,RÁDIO TRANSCEPTOR DIGITAL SEM FONTE PRÓPRIA DE ENERGIA,"Portaria Interministerial MDIC/MCTIC nº 50, de 29 de outubro de 2018 e Portaria Interministerial SEPEC/ME/SEXEC/MCTI n° 38, 17 de julho de 2020",UNIDADE,,010,UHF - para estação fixa,,
1290,RÓTULO DE PAPEL OU CARTÃO,"Portaria Interministerial MDIC/MCTI nº 42, de 14 de fevereiro de 2013 e Portaria Interministerial MDIC/MCTIC n° 40, 3 de agosto de 2018",QUILOGRAMA LÍQUIDO,23/01/2020 12:01,005,impresso,48211000,"ETIQUETAS DE PAPEL OU CARTAO,IMPRESSAS"
1290,RÓTULO DE PAPEL OU CARTÃO,"Portaria Interministerial MDIC/MCTI nº 42, de 14 de fevereiro de 2013 e Portaria Interministerial MDIC/MCTIC n° 40, 3 de agosto de 2018",QUILOGRAMA LÍQUIDO,23/01/2020 12:01,010,não impresso,48219000,OUTROS ETIQUETAS DE PAPEL OU CARTAO
1290,RÓTULO DE PAPEL OU CARTÃO,"Portaria Interministerial MDIC/MCTI nº 42, de 14 de fevereiro de 2013 e Portaria Interministerial MDIC/MCTIC n° 40, 3 de agosto de 2018",QUILOGRAMA LÍQUIDO,23/01/2020 12:01,015,impresso auto-adesivo,48219000,OUTROS ETIQUETAS DE PAPEL OU CARTAO
1290,RÓTULO DE PAPEL OU CARTÃO,"Portaria Interministerial MDIC/MCTI nº 42, de 14 de fevereiro de 2013 e Portaria Interministerial MDIC/MCTIC n° 40, 3 de agosto de 2018",QUILOGRAMA LÍQUIDO,23/01/2020 12:01,020,não impresso auto-adesivo,48219000,OUTROS ETIQUETAS DE PAPEL OU CARTAO
2003,RÓTULO DE PLÁSTICO,"Portaria Interministerial MDIC/MCTI nº 42, de 14 de fevereiro de 2013 e Portaria Interministerial MDIC/MCTIC n° 40, 3 de agosto de 2018",QUILOGRAMA LÍQUIDO,,005,impresso,"39201010, 39201091, 39201099, 39202011, 39202019, 39206219","CHAPAS DE POLIMERO ETILENO,D>=0,94,E<=19M.ROLOS L<=66CM | De densidade inferior a 0,94, com óleo de parafina e carga (sílica e negro-de-carbono) | Outras de polímeros de etileno - chapas, folhas, películas, tiras e lâminas, de | CHAPAS,ETC.POLIM.PROPILENO,BIAX.ORIENT.METALIZ.S/SUPORT | OUTS.CHAPAS,ETC.POLIM.PROPILENO,BIAX.ORIENT.S/SUPORTE | OUTS.CHAPAS,ETC.TEREFT.POLIETILENO,E<=40 MICR.S/SUPORTE"
